title,fname,songno
Sosaria,u3music,1
Town,u3music,2
CastleBritish,u3music,3
Dungeon,u3music,4
Combat,u3music,5
Shop,u3music,6
CastleFire,u3music,7
LordBritish,u3music,8
Shrine,u3music,10
Ambrosia,u3music,11
